( self: Program None, father: None, left: None, right: None )
( self: Declare None, father: Program, left: None, right: GateOp )
( self: q 500, father: Declare, left: None, right: = )
( self: = 406, father: Declare, left: q, right: FuncCall )
( self: FuncCall None, father: Declare, left: =, right: None )
( self: quantum FuncCall_Name, father: FuncCall, left: None, right: ParameterList )
( self: ParameterList None, father: FuncCall, left: quantum, right: None )
( self: 3 600, father: ParameterList, left: None, right: None )
( self: GateOp None, father: Program, left: Declare, right: FuncStatement )
( self: X GateOp_Name, father: GateOp, left: None, right: ParameterList )
( self: ParameterList None, father: GateOp, left: X, right: None )
( self: 0 600, father: ParameterList, left: None, right: 1 )
( self: 1 600, father: ParameterList, left: 0, right: None )
( self: FuncStatement None, father: Program, left: GateOp, right: FuncCall )
( self: m FuncStatement_Name, father: FuncStatement, left: None, right: ParameterList )
( self: ParameterList None, father: FuncStatement, left: m, right: Statement )
( self: Statement None, father: FuncStatement, left: ParameterList, right: None )
( self: FuncCall None, father: Statement, left: None, right: None )
( self: measure FuncCall_Name, father: FuncCall, left: None, right: ParameterList )
( self: ParameterList None, father: FuncCall, left: measure, right: None )
( self: q 500, father: ParameterList, left: None, right: None )
( self: FuncCall None, father: Program, left: FuncStatement, right: None )
( self: m FuncCall_Name, father: FuncCall, left: None, right: ParameterList )
( self: ParameterList None, father: FuncCall, left: m, right: None )
